title,language,genre,director,avg_vote
Quei bravi ragazzi,"English, Italian","Biography, Crime, Drama",Martin Scorsese,8.7
The Departed - Il bene e il male,"English, Cantonese","Crime, Drama, Thriller",Martin Scorsese,8.5
Taxi Driver,"English, Spanish","Crime, Drama",Martin Scorsese,8.3
Toro scatenato,English,"Biography, Drama, Sport",Martin Scorsese,8.2
CasinÌ?,English,"Crime, Drama",Martin Scorsese,8.2
The Wolf of Wall Street,"English, French","Biography, Crime, Drama",Martin Scorsese,8.2
Shutter Island,"English, German","Mystery, Thriller",Martin Scorsese,8.2
The Irishman,"English, Italian, Latin, Spanish, German","Biography, Crime, Drama",Martin Scorsese,7.9
Re per una notte,English,"Comedy, Crime, Drama",Martin Scorsese,7.8
Fuori orario,English,"Comedy, Crime, Drama",Martin Scorsese,7.7
L'ultima tentazione di Cristo,English,Drama,Martin Scorsese,7.5
Gangs of New York,"English, Irish, Chinese, Latin","Crime, Drama",Martin Scorsese,7.5
The Aviator,English,"Biography, Drama",Martin Scorsese,7.5
Hugo Cabret,English,"Drama, Family, Fantasy",Martin Scorsese,7.5
"Mean Streets - Domenica in chiesa, lunedÌÂ all'inferno","English, Italian","Crime, Drama, Thriller",Martin Scorsese,7.3
Alice non abita piÌ? qui,English,"Drama, Romance",Martin Scorsese,7.3
Cape Fear - Il promontorio della paura,English,"Crime, Thriller",Martin Scorsese,7.3
L'etÌÊ dell'innocenza,"English, Italian","Drama, Romance",Martin Scorsese,7.2
Silence,"English, Japanese, Latin","Drama, History",Martin Scorsese,7.2
Il colore dei soldi,"English, Spanish","Drama, Sport",Martin Scorsese,7
Kundun,"English, Tibetan, Mandarin","Biography, Drama, History",Martin Scorsese,7
Al di lÌÊ della vita,English,"Drama, Thriller",Martin Scorsese,6.8
Chi sta bussando alla mia porta?,English,"Drama, Romance",Martin Scorsese,6.7
"New York, New York",English,"Drama, Music, Musical",Martin Scorsese,6.7
America 1929 - Sterminateli senza pietÌÊ,English,"Crime, Drama, Romance",Martin Scorsese,6