language,AVG(duration)
"Catalan, Spanish, French, English, Russian, German, Swedish",808.0000
"Filipino, Bicolano, English, Tagalog",540.0000
"Tagalog, Spanish, Mandarin, Filipino, English",485.0000
"German, English, French, Russian",442.0000
"Portuguese, French, English, Italian",272.0000
"Hungarian, English, French, German, Romany, Polish",261.0000
"Italian, German, French",238.0000
"Polish, French, German, Spanish, Latin",234.0000
"English, Arabic, Turkish",228.0000
"Italian, English, Norwegian",226.0000
"Polish, Serbo-Croatian, Italian, German, French, English, Russian",224.0000
"English, Serbo-Croatian, Russian, French, Polish, German, Ukrainian",219.0000
"Greek, Italian, English",210.0000
"English, Italian, Latin, Spanish, German",209.0000
"Italian, French, English, Neapolitan, Sicilian, Polish",205.0000
"English, Italian, Spanish, Latin, Sicilian",202.0000
"Hungarian, French, Russian, German",201.0000
"English, Quenya, Old English, Sindarin",201.0000
"English, Russian, German, French, Finnish, Italian",195.0000
"English, Hebrew, German, Polish, Latin",195.0000
"Filipino, Tagalog, Spanish, English",194.0000
"Russian, Japanese, French",191.0000
"Tamil, Telugu, Hindi, English",190.0000
"Swedish, German, Yiddish, English, French",188.0000
"Japanese, Mandarin, Russian",185.5000
"Kannada, Malayalam, Hindi, Tamil, Telugu",185.0000
"Hindi, English, Cantonese, Tamil",185.0000
"French, English, German, Russian",184.0000
"English, Russian, Vietnamese, French, Cantonese",183.0000
"Thai, English, Japanese, Lao, French",183.0000
"Italian, Arabic, English, Latin",182.0000
"English, Irish, Hebrew",182.0000
"English, Japanese, Xhosa, German",181.0000
"English, Sioux, Pawnee",181.0000
"English, Tamil, Telugu",180.0000
"Russian, English, French, German",180.0000
"English, Sindarin, Old English",179.0000
"Polish, German, Yiddish, Russian",179.0000
"German, English, French, Serbo-Croatian",179.0000
"English, French, Latin, Scottish Gaelic, Italian",178.0000
"English, Polynesian, French, Dutch",178.0000
"Filipino, Tagalog, Spanish, English, French, German, Latin",178.0000
"English, Greek, Bulgarian, Albanian, Serbian, Romanian, Kurdish, Macedonian, German",176.0000
"English, German, Dutch, Polish, Latin",175.0000
"English, French, German, Italian, Russian",175.0000
"Tamil, Hindi, Telugu",173.5000
"Telugu, Tamil, Hindi",173.5000
"Arabic, Italian, English",173.0000
"French, English, Persian",173.0000
"Mandarin, Min Nan, Hokkien, English, Japanese, French",173.0000
"Hindi, English, Tamil, Telugu, Arabic",172.0000
"English, German, French, Russian, Spanish",172.0000
"English, German, French, Russian, Arabic, Italian",172.0000
"English, Spanish, Ukrainian, Korean",172.0000
"Kannada, Tamil, Hindi",171.0000
"Malayalam, English",170.0000
"Serbian, German, French, English, Russian",170.0000
"English, Tok Pisin, Japanese, Greek",170.0000
"Telugu, Tamil, Hindi, Spanish, French, Punjabi",170.0000
"Telugu, Kannada, Tamil, Malayalam",169.0000
"English, French, German, Czech",169.0000
"Czech, German, Russian, Latin",169.0000
"Yoruba, English, Ibo, Hausa",169.0000
"Swedish, English, Russian",168.0000
"Hindi, Indonesian, Italian",168.0000
"English, Irish, Chinese, Latin",167.0000
"English, Spanish, Russian, German, Lingala",167.0000
"Kannada, Hindi, Tamil, Telugu, Malayalam",166.0000
"Hindi, English, Tamil, Telugu, Malayalam",165.5000
"Min Nan, Japanese",165.0000
"English, Aboriginal, Chinese, Japanese",165.0000
"Tamil, Telugu, Russian",165.0000
"Urdu, Punjabi, English, Hindi",165.0000
"German, French, Russian",165.0000
"Macedonian, French, English, Turkish",165.0000
"Hindi, Tamil, Rajasthani",164.0000
"English, German, French, Hebrew, Arabic, Italian, Greek, Russian, Dutch",164.0000
"Hindi, Tamil, English, French",164.0000
"Urdu, English, Hindi",164.0000
"English, Finnish, Japanese, Hungarian, Russian, Somali, Spanish",164.0000
"English, Arapaho",164.0000
"Sicilian, Italian, English",163.0000
"French, Afrikaans, English, Dutch",162.0000
"Filipino, English, Tagalog, Spanish",162.0000
"English, Italian, German, Latin",162.0000
"German, English, Romanian",162.0000
"Hindi, Punjabi, Urdu, Gujarati, English",161.0000
"English, Japanese, Thai",161.0000
"English, Italian, Latin, German",160.0000
"Persian, Arabic, French, Turkish, English",160.0000
"Tamil, Tulu, English",160.0000
"Telugu, Tamil, English",160.0000
"Hindi, Kannada, Tamil, Telugu",160.0000
"Hindi, Awadhi",159.8000
"Tamil, Telugu, Kannada",159.5000
"Russian, Lithuanian, German, Georgian, French",159.0000
"Norwegian, Swedish, German, Danish, English",159.0000
"Hindi, Bhojpuri, Urdu",159.0000
"Urdu, Punjabi, Hindi",158.0000
"Latin, German, Russian",158.0000