title,language,genre,allgenders_0age_avg_vote
Persona 3 the Movie: #4 Winter of Rebirth,Japanese,"Animation, Action, Family",10
The Donkey King,Urdu,"Animation, Comedy, Family",10
Ventilator,Marathi,Drama,10
Onze Jongens,Dutch,Comedy,10
Aigaio SOS,Greek,"Action, Comedy",10
Karsandas Pay and Use,Gujarati,Romance,10
Baban,Marathi,Action,10
Klassikokkutulek 2: Pulmad ja matused,Estonian,Comedy,10
Orphan Horse,English,"Drama, Family",10
Black Site,English,"Action, Horror, Sci-Fi",10
Zombiepura,Mandarin,Comedy,10
Kanpuriye,Hindi,Drama,10
Ranarangam,Telugu,"Action, Drama",10
Mobile Suit Gundam Narrative,Japanese,"Animation, Action, Sci-Fi",10
MÌÁs que hermanos,"Spanish, English",Drama,10
Profesionalac,Serbian,"Comedy, Drama",10
Una recita a quattro,"French, Portuguese","Drama, Mystery",10
Sindhubaadh,Tamil,"Action, Thriller",10
The Butler,Spanish,Thriller,10
Jestem,Polish,Drama,10
Il balio asciutto,English,"Comedy, Musical",10
Mufti,Kannada,Action,10
Ameerika suvi,"English, Estonian","Comedy, Drama",10
Super Xuxa Contra o Baixo Astral,Portuguese,"Comedy, Family, Fantasy",10
CB4,English,"Comedy, Music",10
E zhan,"Japanese, Mandarin, Cantonese","Action, Crime",10
Sethu,Tamil,"Action, Drama, Romance",10
Kamen raidÌ¢ x Kamen raidÌ¢ FÌ«ze & ÌÓzu Movie taisen Mega Max,Japanese,"Action, Adventure, Comedy",10
Kuutamosonaatti 2: Kadunlakaisijat,Finnish,"Comedy, Horror",10
El artista y la modelo,"French, Spanish",Drama,10
Laal Kabootar,Urdu,"Crime, Thriller",10
Bangali Babu English Mem,Bengali,"Comedy, Musical, Romance",10
Ivan TsarÌ©vitch et la princesse changeante,French,"Animation, Family, Fantasy",10
Iruttu,Tamil,"Drama, Horror, Mystery",10
Hello Herman,English,Drama,10
Andromina: The Pleasure Planet,English,"Comedy, Fantasy, Horror",10
"Unico, il piccolo unicorno","Japanese, English","Animation, Adventure, Family",10
Gandhada Gudi,Kannada,"Action, Drama, Thriller",10
Le premier jour du reste de ta vie,French,Drama,10
Eminence Hill,English,Western,10
Revenge of the Pontianak,Malay,"Horror, Romance",10
Thenkasipattanam,Malayalam,"Comedy, Romance",10
Homestate,English,Drama,10
Sen Benim HerSeyimsin,Turkish,Comedy,10
Muthuramalingam,Tamil,"Action, Drama",10
Maide'nin Altin GÌ?nÌ?,Turkish,Comedy,10
Vienui vieni,Lithuanian,"Drama, History",10
Chang Trai Nam Ay,Vietnamese,"Comedy, Drama, Romance",10
Andhrawala,Telugu,"Action, Drama",10
Poetic Justice,English,"Drama, Romance",10
S.O.S.: Mulheres ao Mar 2,Portuguese,Comedy,10
The Seeker,,"Drama, Music",10
Lavender,English,"Drama, Thriller",10
Mobile Suit Gundam - The Origin I,Japanese,"Animation, Action, Drama",10
Dohee-ya,Korean,Drama,10
Madadayo - Il compleanno,"Japanese, English",Drama,10
The Gospel of John,"English, Spanish",Drama,10
Kogda derevya byli bolshimi,Russian,"Drama, Romance",10
Noem My Skollie: Call Me Thief,Afrikaans,"Crime, Drama",10
Antisocial,English,"Horror, Sci-Fi, Thriller",10
Preggoland,"English, Spanish, French","Comedy, Drama",10
FÌÈsen,Japanese,Drama,10
Lad: A Yorkshire Story,English,Drama,10
Kasi,Tamil,Drama,10
Thulladha Manamum Thullum,Tamil,"Drama, Romance",10
Red Snake,"English, Kurdish, French, Italian, Arabic","Action, Drama, War",10
Sunday Holiday,Malayalam,"Comedy, Drama",10
Tenten,Japanese,Comedy,10
Shakha Proshakha,Bengali,Drama,10
ThiÌ»n menh anh hÌ?ng,Vietnamese,"Action, Drama, History",10
Appleton,English,"Crime, Mystery, Thriller",10
Keunalui bonwigi,Korean,"Comedy, Romance",10
The Last Boy,English,"Drama, Fantasy, Mystery",10
Chaamp,Bengali,Sport,10
Crowsnest,English,"Horror, Mystery, Thriller",10
Much Loved,"Arabic, French",Drama,10
Sinister Squad,English,"Action, Fantasy",10
Saeng-il,Korean,Drama,10
Any Day,English,"Drama, Romance, Thriller",10
Heavenly Deposit,English,Drama,10
QuÌ© LeÌ?n,Spanish,"Comedy, Romance",10
Un commissario accusa,Romanian,"Action, Crime, Drama",10
1920: Evil Returns,Hindi,"Drama, Horror, Romance",10
Dancing Ninja,English,"Action, Comedy, Crime",10
Madame Curie,English,"Biography, Drama, Romance",10
Hantu Kak Limah Balik Rumah,Malay,"Comedy, Horror",10
Perdona e dimentica,English,"Comedy, Drama",10
Praybeyt Benjamin,"Filipino, Tagalog",Comedy,10
Casanegra,Arabic,Drama,10
L'uomo di paglia,Italian,"Drama, Romance",10
Samrajyam,Malayalam,"Action, Crime, Thriller",10
Live from Dhaka,Bengali,Drama,10
Naduve Antaravirali,Kannada,Comedy,10
Una gallina nel vento,Japanese,Drama,10
Ekvtime: Man of God,Georgian,"Biography, Drama, History",10
Karthikeya,Telugu,"Mystery, Thriller",10
"JÌÁra Cimrman lezÌ?cÌ?, spÌ?cÌ?",Czech,"Biography, Comedy",10
The Journey,Chinese,"Comedy, Drama, Family",10
Kage no Gundan: Hattori Hanzo,Japanese,Action,10
L'hypothÌ¬se du tableau volÌ©,French,"Drama, Mystery",10