imdb_title_id,title,language,genre,weighted_average_vote,total_votes
tt12492650,Ek,Telugu,"Action, Drama",9.8,527
tt6074834,Delaware Shore,English,Drama,9.1,507
tt7741602,Until Midnight,"Arabic, English","Drama, Thriller",7.6,578
tt7433762,Innocent,French,Comedy,9,684
tt0373255,Ragile Gundelu,Telugu,Drama,4.4,888
tt4516040,Benji the Dove,English,"Adventure, Drama, Family",8.2,790
tt6545212,Leera the Soulmate,Hindi,Animation,8.8,662
tt9279362,11 Days,Arabic,Drama,8.5,618
tt6226212,Sand Angels,English,Family,7.9,676
tt12747588,Meka Suri,Telugu,"Crime, Thriller",9.7,1126
tt11166002,Stanley Stanton,English,Drama,8.7,904
tt5712718,A Petty Bourgeois Dream,Arabic,"Comedy, Drama, Family",7.7,701
tt8718580,Eghantham,Tamil,Drama,9.2,644
tt1508669,Hopeful Notes,English,Drama,9.7,669
tt7822474,Suvarna Sundari,"Telugu, Kannada","Action, Thriller",9.9,896
tt9008642,Notuku Potu,Telugu,"Horror, Mystery",9.8,926
tt1212133,Punya Bhoomi Naa Desam,Telugu,Action,6.4,775
tt1723122,All You Can Dream,English,"Comedy, Drama, Family",8.8,879
tt1807081,Humdinger,English,"Comedy, Drama",7.7,1041
tt1463488,Raju Maharaju,Telugu,Family,6.2,522
tt10867504,Fan,Kannada,Drama,9.2,879
tt6915176,Erra Buss,Telugu,"Comedy, Drama",6.1,548
tt8569206,Little Baby,Hindi,Family,9.2,2095
tt8241876,5th Borough,English,Crime,8.6,1178
tt8784906,Ani... Dr. Kashinath Ghanekar,Marathi,Drama,8.6,705
tt10218912,As I Am,English,"Drama, Fantasy, Romance",9.3,1173
tt4203824,Elizabeth Ekadashi,Marathi,"Adventure, Drama, Family",8.4,593
tt0382157,Locomotive,English,"Action, Drama, Romance",7.1,1441
tt5440848,Bugs Bunny: Looney Tunes Cartoons 1942-1943 - Golden-Era Collection,English,Animation,8.5,557
tt0925056,Adavilo Anna,Telugu,"Action, Drama",5.5,775
tt4717534,Golden Treasure,Mongolian,"Action, Drama, Romance",7.9,665
tt0206669,Amare con ostinazione,Bulgarian,Drama,8.6,574
tt9610354,Ninnu Thalachi,Telugu,"Comedy, Romance",9.3,924
tt0352732,Ponmuttayidunna Tharavu,Malayalam,"Comedy, Drama",8,505
tt0232152,Nagara Haavu,Kannada,"Drama, Musical",8.9,896
tt1653015,Jogwa,Marathi,Drama,8.3,569
tt0259261,Daana Veera Soora Karna,Telugu,"Action, Drama, Fantasy",8.8,556
tt0160966,Tarantulas and Other Conveniences,English,Drama,7.5,1115
tt6544940,CoraÌ¤Ì£o de Cowboy,Portuguese,"Drama, Music",8.1,512
tt9742362,Mallesham,Telugu,Biography,8.5,712
tt8747560,KD,Tamil,Drama,8.6,1015
tt4625196,Ottaal,Malayalam,Drama,8.3,542
tt4869678,Superstar Kidnap,Telugu,Thriller,6.8,627
tt9610262,Chaal Jeevi Laiye,Gujarati,Drama,8.6,557
tt8347882,Shonar Pahar,Bengali,Drama,8.1,514
tt6330122,Mr. Plinkett's Indiana Jones and the Kingdom of the Crystal Skull Review,English,Comedy,8.7,566
tt0484010,Yamajaathakudu,Telugu,"Action, Comedy, Fantasy",4.9,580
tt3961964,Tar Pit,English,"Action, Crime, Drama",6.6,1138
tt2122283,Bastards of Young,English,"Comedy, Drama",6.7,1623
tt9020536,Ejen Ali the Movie,Malay,"Animation, Action, Adventure",8.8,693
tt1082820,Dead End,English,Comedy,6.3,529
tt8094272,Reva,"Gujarati, Hindi",Drama,8.4,538
tt5717184,The Colour of Darkness,English,Drama,8.5,800
tt0267277,Ashi Hi Banwa Banwi,Marathi,Comedy,8.8,970
tt0247025,Voynata na taralezhite,Bulgarian,Comedy,8.9,754
tt9343826,Ananthu V/S Nusrath,Kannada,"Comedy, Drama, Family",8.6,896
tt10751548,Mudda 370 J&K,Hindi,"Action, Drama",8.8,677
tt7380226,Okkadu Migiladu,Telugu,Action,7.2,731
tt1688699,Conquering the Rose,English,Drama,7,1437
tt7155460,Muramba,Marathi,"Comedy, Family",8,546
tt11042658,Gantumoote,Kannada,Drama,8.2,511
tt0315255,Bangarada Manushya,Kannada,Drama,8.8,727
tt10469118,Hellaro,Gujarati,Drama,8.7,793
tt3342558,Talakjung vs Tulke,Nepali,"Action, Drama",8.1,516
tt0451223,Sweetzer,English,Comedy,7.5,1410
tt8185004,Chal Man Jeetva Jaiye,Gujarati,Drama,8.7,659
tt5858514,Chingisiin huuhduud,Mongolian,"Adventure, Family",8.1,863
tt9390200,Dokyala Shot,Marathi,Thriller,8.8,661
tt5951832,Pretty Outrageous,English,"Comedy, Family",6.3,665
tt11127512,Heartbeat,,Thriller,7.3,939
tt5569310,Much Ado About Nothing,English,"Comedy, Romance",8.6,556
tt0058394,"Ne joci, Peter",Slovenian,"Adventure, War",8.4,630
tt4228378,Shhh!,Kannada,"Horror, Mystery, Thriller",8.6,831
tt0257892,Major Chandrakanth,Telugu,"Action, Drama, Thriller",7.2,901
tt2385952,Mahogany Sunrise,English,"Crime, Drama, Romance",7.8,508
tt3564122,Arise from Darkness,"Hebrew, Spanish, English",Thriller,7.6,591
tt2317414,Rakugo eiga,Japanese,"Comedy, Crime, Drama",6.5,617
tt0383702,Vishnu,Telugu,"Action, Romance",5.5,1031
tt0248317,Ponthan Mada,Malayalam,Drama,8.1,572
tt0046504,Vesna,Slovenian,"Comedy, Music, Romance",8.1,534
tt1253853,"Live Fast, Die Young",English,Drama,8.2,790
tt0045098,Roma ore 11,Italian,Drama,7.8,534
tt0071101,L'attore e i selvaggi,Romanian,"Comedy, Drama, Family",8.7,668
tt5597792,Attack,Telugu,"Action, Crime, Thriller",6,640
tt5575408,Mushi-Shi Zoku Shou: Suzu no Shizuku,Japanese,"Animation, Fantasy",8.7,736
tt1265598,In the Gray,English,"Crime, Drama",7,1691
tt11191124,Primal: Tales of Savagery,"English, None","Animation, Action, Adventure",8.4,664
tt1909827,Red Sheep,English,"Drama, Fantasy, Thriller",6.8,1685
tt7209472,Aiyai: Wrathful Soul,English,"Horror, Mystery, Thriller",8.9,880
tt4701630,Mosagallaku Mosagadu,Telugu,"Action, Comedy, Crime",6.2,640
tt0420727,Lalon,Bengali,"Musical, Drama",8.2,505
tt6284474,Chowka,Kannada,"Drama, Romance",8.2,623
tt0206877,Lava Kusa,Telugu,"Drama, Family, Musical",8.1,513
tt1486683,Fortified,English,"Action, Thriller",7.5,524
tt1502960,The Taste of Relation,Hindi,"Drama, Family, Mystery",4.7,672
tt0274314,Aarilirindhu Aruvathu Varai,Tamil,"Biography, Drama",8.3,575
tt0281063,Pesvebi,"French, Georgian, Russian",Drama,8.9,912
tt0156130,Thazhvaram,Malayalam,"Crime, Drama, Musical",8.1,580
tt0174470,Arachveulebrivi gamopena,"Russian, Georgian","Drama, Romance, War",8.4,519
tt6267944,Ti Saddhya Kay Karte,Marathi,Romance,7.8,509